Time,Velocity,Acceleration,Apogee,Predicted DP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,0.000000000000000000e+00,2.717210685090442368e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.141421955517519654e-01,6.414273975091232671e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,3.207191505439067059e-01,1.011199116255804995e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,6.197472016584619769e-01,1.381036039932903066e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,9.648387229286234934e-01,1.379695661842861227e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.309595053022546862e+00,1.378354210494093479e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.654015926099966061e+00,1.377011685930951614e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.998101077647812973e+00,1.375668130720786451e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.341948544042177893e+00,1.375109969423826328e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.685656421652442560e+00,1.374551168622714954e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.029224553417385835e+00,1.373991779326571248e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,3.372652794493018469e+00,1.373431844602317256e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,3.716028635214263076e+00,1.373572438871993313e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,4.059439615186000161e+00,1.373712796499315800e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000555e-02,4.402885676421197658e+00,1.373852940479795848e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,4.746366766453229857e+00,1.373992889367023622e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,5.089917196146907408e+00,1.374407544769181300e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,5.433571295922776656e+00,1.374822127948953039e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,5.777329048234147280e+00,1.375236648777661230e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.121190437912683358e+00,1.375651115352618490e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000500e-02,6.465155581690437359e+00,1.376066574004940435e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000722e-02,6.809224599800801414e+00,1.376482029015208184e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000944e-02,7.153397498105673158e+00,1.376897553639817602e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,7.497674290786964235e+00,1.377313129541657304e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,7.842069184047216091e+00,1.377842305653674089e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,8.186596387163115551e+00,1.378371540427632453e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,8.531255914178611732e+00,1.378900821765116973e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,8.876047776213859208e+00,1.379430139557710220e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-02,9.220975474654832027e+00,1.379987428595799202e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,9.566042510476282956e+00,1.380544748288943993e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000001332e-02,9.911248891026245289e+00,1.381102092530951211e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.025659462217227258e+01,1.381659456108269808e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,1.060209068101527130e+01,1.382304619505851235e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,1.094774804869502738e+01,1.382949824676394428e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-02,1.129356673548298673e+01,1.383595068270651609e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,1.163954675083624046e+01,1.384240347378576246e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.249999999999999889e-02,1.198568244852019049e+01,1.384840417091700999e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000111e-02,1.233196817909511900e+01,1.385440502029148888e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,1.267840390302270315e+01,1.386039997772446668e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.302498949999634803e+01,1.386639283936717959e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.025000000000000078e-01,1.337173489627179102e+01,1.387318164781642338e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000100e-01,1.371865002852943149e+01,1.387997031609660041e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000122e-01,1.406573489317136527e+01,1.388675882611264285e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,1.441298948615406061e+01,1.389354716103081557e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000028e-01,1.476040826909671466e+01,1.389989256723908397e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000050e-01,1.510798570071144908e+01,1.390623761665704876e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000072e-01,1.545572177200799402e+01,1.391258229560385189e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,1.580361647365828048e+01,1.391892659118511233e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.224999999999999978e-01,1.615168367728578858e+01,1.392638105450874093e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,1.649993726068374755e+01,1.393383549923831310e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,1.684837722333027443e+01,1.394128991395093919e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,1.719700356442062628e+01,1.394874428772711497e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000067e-01,1.754581075868287954e+01,1.395575665064548332e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e-01,1.789479327808456333e+01,1.396276880192735348e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000111e-01,1.824395111728754060e+01,1.396978073205914370e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,1.859328427071765333e+01,1.397679243186303211e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,1.894280124813040089e+01,1.398448517483330420e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000178e-01,1.929251056305530199e+01,1.399217790987793535e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000200e-01,1.964241221525270120e+01,1.399987062838269480e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,1.999250620426880687e+01,1.400756332195974778e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999967e-01,2.034278316043670287e+01,1.401450642184500452e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.549999999999999989e-01,2.069323370961051012e+01,1.402144922385443522e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000011e-01,2.104385784430686357e+01,1.402839172046697342e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,2.139465555685523057e+01,1.403533390431968542e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-01,2.174562792904421116e+01,1.404236294478901073e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000078e-01,2.209677604303579912e+01,1.404939169142189712e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000100e-01,2.244809989145056406e+01,1.405642013721899559e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,2.279959946673469062e+01,1.406344827529133568e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000144e-01,2.315127776742162524e+01,1.407071661303215251e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,2.350313779331691677e+01,1.407798471615156757e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.775000000000000189e-01,2.385517953852340156e+01,1.408525257794229333e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,2.420740299697665066e+01,1.409252019177407647e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.824999999999999956e-01,2.455980375040093477e+01,1.409943456899105740e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.849999999999999978e-01,2.491237737837112931e+01,1.410634856589614969e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,2.526512387134966175e+01,1.411326217619954662e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,2.561804321964200071e+01,1.412017539366597987e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000044e-01,2.597113600765991848e+01,1.412713575607006646e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000067e-01,2.632440281998379206e+01,1.413409573272355999e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e-01,2.667784364694108135e+01,1.414105531750958278e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.703145847870652574e+01,1.414801450434893582e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,2.738525227723553002e+01,1.415537106341454319e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000000000155e-01,2.773923000667909733e+01,1.416272735349175775e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000178e-01,2.809339166028405188e+01,1.417008336843016139e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,2.844773723114358077e+01,1.417743910210392926e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.124999999999999944e-01,2.880226594199779200e+01,1.418473292969095496e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.149999999999999967e-01,2.915697701513509799e+01,1.419202644584813697e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999989e-01,2.951187044274181659e+01,1.419931964453622015e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,2.986694621685336415e+01,1.420661251973144203e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.225000000000000033e-01,3.022221321447506170e+01,1.421461591300858345e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,3.057768031662041608e+01,1.422261922074142433e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.275000000000000078e-01,3.093334752112241759e+01,1.423062243664257380e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,3.128921482565689516e+01,1.423862555443178906e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.325000000000000122e-01,3.164527376718653073e+01,1.424595168855908014e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000000144e-01,3.200151587868084846e+01,1.425327748141384916e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000167e-01,3.235794115158048356e+01,1.426060292701902483e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,3.271454957830901833e+01,1.426792821824932957e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.424999999999999933e-01,3.307134398137234399e+01,1.427547936615135598e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.449999999999999956e-01,3.342832718077556109e+01,1.428303023350665626e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,3.378549916900330885e+01,1.429058081433672669e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,3.414285993916215745e+01,1.429813113945215832e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.525000000000000022e-01,3.450040847661649934e+01,1.430560050452568248e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000044e-01,3.485814376590584374e+01,1.431306955035796875e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.575000000000000067e-01,3.521606579849015617e+01,1.432053827135981692e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,3.557417456598738426e+01,1.432800666187812908e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,3.593247231345429071e+01,1.433565495934074931e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.650000000000000133e-01,3.629096128650461850e+01,1.434330298080037096e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.675000000000000155e-01,3.664964147862090016e+01,1.435095072036431532e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e-01,3.700851288217737789e+01,1.435859817233207991e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.725000000000000200e-01,3.736757938525358469e+01,1.436655697100451903e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,3.772684487764150418e+01,1.437451558218623120e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.775000000000000244e-01,3.808630935462862510e+01,1.438247399989965913e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e-01,3.844597281135288824e+01,1.439043221815722688e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.825000000000000289e-01,3.880583220626922270e+01,1.439814727115330015e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000311e-01,3.916588449573914232e+01,1.440586203261124467e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000333e-01,3.952612967244933628e+01,1.441357649660692175e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999800e-01,3.988656772893804714e+01,1.442129065718395395e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,4.024719975565325569e+01,1.442909235813349937e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.949999999999999845e-01,4.060802684346349167e+01,1.443689377801082401e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.974999999999999867e-01,4.096904898531656158e+01,1.444469491079168790e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,4.133026617400934555e+01,1.445249575041775643e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.024999999999999911e-01,4.169167816597492049e+01,1.446027739350624586e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.049999999999999933e-01,4.205328471745122698e+01,1.446805872868469578e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,4.241508582071455891e+01,1.447583974985756186e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-01,4.277708146788859978e+01,1.448362045090638048e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-01,4.313927377772374427e+01,1.449157097723611116e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000022e-01,4.350166486986085346e+01,1.449952123397290222e+02,0.000000000000000000e+00,0.000000000000000000e+00
